time_exchange;time_coinapi;guid;price;base_amount;taker_side
2019-06-08T00:00:03.504000000;2019-06-08T00:00:02.990882944;10;7978.94;0.042461;SELL
2019-06-08T00:00:03.646000000;2019-06-08T00:00:02.990882944;16;7978.94;0.019112;SELL
2019-06-08T00:00:03.822000000;2019-06-08T00:00:02.990882944;18;7979.95;0.001419;BUY
2019-06-08T00:00:04.203000000;2019-06-08T00:00:02.990882944;57;7978.94;7e-06;SELL
2019-06-08T00:00:04.203000000;2019-06-08T00:00:02.990882944;58;7978.92;0.003361;SELL
2019-06-08T00:00:05.745000000;2019-06-08T00:00:02.990882944;110;7978.94;0.002061;SELL
2019-06-08T00:00:05.831000000;2019-06-08T00:00:02.990882944;115;7979.47;0.116307;BUY
2019-06-08T00:00:05.832000000;2019-06-08T00:00:02.990882944;116;7978.94;0.040422;SELL
2019-06-08T00:00:06.004000000;2019-06-08T00:00:02.990882944;120;7979.43;0.118231;BUY
2019-06-08T00:00:06.004000000;2019-06-08T00:00:02.990882944;121;7979.94;0.244907;BUY
2019-06-08T00:00:06.066000000;2019-06-08T00:00:02.990882944;124;7978.94;0.002061;SELL
2019-06-08T00:00:06.192000000;2019-06-08T00:00:02.990882944;131;7978.94;0.00105;SELL
2019-06-08T00:00:06.192000000;2019-06-08T00:00:02.990882944;132;7978.92;0.001524;SELL
2019-06-08T00:00:06.579000000;2019-06-08T00:00:02.990882944;151;7978.92;0.020252;SELL
2019-06-08T00:00:06.579000000;2019-06-08T00:00:02.990882944;152;7978.92;0.001748;SELL
2019-06-08T00:00:08.041000000;2019-06-08T00:00:02.990882944;191;7980;0.001492;BUY
2019-06-08T00:00:08.417000000;2019-06-08T00:00:02.990882944;206;7978.94;0.001902;SELL
2019-06-08T00:00:08.474000000;2019-06-08T00:00:02.990882944;207;7978.94;0.00169;SELL
2019-06-08T00:00:09.240000000;2019-06-08T00:00:02.990882944;227;7978.94;0.0015;SELL
2019-06-08T00:00:09.539000000;2019-06-08T00:00:02.990882944;249;7978.94;0.076954;SELL
2019-06-08T00:00:09.541000000;2019-06-08T00:00:02.990882944;250;7979.25;0.084078;BUY
2019-06-08T00:00:10.340000000;2019-06-08T00:00:02.990882944;259;7978.92;0.001252;SELL
2019-06-08T00:00:10.340000000;2019-06-08T00:00:02.990882944;260;7977.01;0.025064;SELL
2019-06-08T00:00:10.340000000;2019-06-08T00:00:02.990882944;261;7977;0.043876;SELL
2019-06-08T00:00:10.340000000;2019-06-08T00:00:02.990882944;262;7973.91;0.002845;SELL
