time_exchange;time_coinapi;guid;price;base_amount;taker_side
43624.00004;43624.00003;10;7978.94;0.042461;SELL
43624.00004;43624.00003;13;248.82;2.7967;SELL
43624.00004;43624.00003;14;248.85;1.22656;BUY
43624.00004;43624.00003;16;7978.94;0.019112;SELL
43624.00004;43624.00003;18;7979.95;0.001419;BUY
43624.00005;43624.00003;49;248.78;0.08794;SELL
43624.00005;43624.00003;57;7978.94;0.000007;SELL
43624.00005;43624.00003;58;7978.92;0.003361;SELL
43624.00007;43624.00003;110;7978.94;0.002061;SELL
43624.00007;43624.00003;115;7979.47;0.116307;BUY
43624.00007;43624.00003;116;7978.94;0.040422;SELL
43624.00007;43624.00003;120;7979.43;0.118231;BUY
43624.00007;43624.00003;121;7979.94;0.244907;BUY
43624.00007;43624.00003;124;7978.94;0.002061;SELL
43624.00007;43624.00003;129;248.86;0.1;BUY
43624.00007;43624.00003;131;7978.94;0.00105;SELL
43624.00007;43624.00003;132;7978.92;0.001524;SELL
43624.00007;43624.00003;141;248.77;0.04864;SELL
43624.00008;43624.00003;151;7978.92;0.020252;SELL
43624.00008;43624.00003;152;7978.92;0.001748;SELL
43624.00008;43624.00003;158;248.79;1.23575;SELL
43624.00008;43624.00003;159;248.85;1.62925;BUY
43624.00009;43624.00003;191;7980;0.001492;BUY
43624.0001;43624.00003;206;7978.94;0.001902;SELL
43624.0001;43624.00003;207;7978.94;0.00169;SELL
43624.00011;43624.00003;226;248.77;0.04811;SELL
43624.00011;43624.00003;227;7978.94;0.0015;SELL
43624.00011;43624.00003;249;7978.94;0.076954;SELL
43624.00011;43624.00003;250;7979.25;0.084078;BUY
43624.00012;43624.00003;259;7978.92;0.001252;SELL
43624.00012;43624.00003;260;7977.01;0.025064;SELL
43624.00012;43624.00003;261;7977;0.043876;SELL
43624.00012;43624.00003;262;7973.91;0.002845;SELL
43624.00012;43624.00003;263;7973.89;0.023189;SELL
43624.00012;43624.00003;264;7973.89;0.195016;SELL
43624.00012;43624.00003;265;7973.87;0.194;SELL
43624.00012;43624.00003;266;7973.41;0.09737;SELL
